step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
890 8.819172e-01 6.161603e-02 1.172403e-01 1.497826e-03 4.409902e-01 5.879869e+03
900 8.921292e-01 6.144226e-02 1.170653e-01 1.495836e-03 4.413198e-01 5.884264e+03
910 9.023329e-01 6.128270e-02 1.169050e-01 1.493996e-03 4.416221e-01 5.888295e+03
920 9.125287e-01 6.112288e-02 1.167451e-01 1.492142e-03 4.419246e-01 5.892328e+03
930 9.227165e-01 6.096282e-02 1.165853e-01 1.490274e-03 4.422273e-01 5.896364e+03
940 9.328968e-01 6.081704e-02 1.164402e-01 1.488562e-03 4.425026e-01 5.900035e+03
950 9.430700e-01 6.067092e-02 1.162954e-01 1.486835e-03 4.427781e-01 5.903708e+03
960 9.532360e-01 6.052445e-02 1.161507e-01 1.485093e-03 4.430538e-01 5.907384e+03
970 9.633948e-01 6.037768e-02 1.160063e-01 1.483337e-03 4.433296e-01 5.911061e+03
980 9.735464e-01 6.023065e-02 1.158620e-01 1.481568e-03 4.436056e-01 5.914741e+03
990 9.836907e-01 6.008344e-02 1.157178e-01 1.479787e-03 4.438817e-01 5.918423e+03
1000 9.938277e-01 5.993611e-02 1.155739e-01 1.477997e-03 4.441580e-01 5.922107e+03
1010 1.003958e+00 5.978873e-02 1.154302e-01 1.476199e-03 4.444345e-01 5.925793e+03
1020 1.014080e+00 5.964138e-02 1.152866e-01 1.474394e-03 4.447111e-01 5.929482e+03
1030 1.024195e+00 5.949413e-02 1.151432e-01 1.472586e-03 4.449879e-01 5.933172e+03
1040 1.034303e+00 5.934705e-02 1.150000e-01 1.470774e-03 4.452649e-01 5.936865e+03
1050 1.044404e+00 5.920020e-02 1.148570e-01 1.468962e-03 4.455421e-01 5.940561e+03
1060 1.054497e+00 5.906097e-02 1.147213e-01 1.467241e-03 4.458055e-01 5.944073e+03
1070 1.064583e+00 5.892928e-02 1.145929e-01 1.465610e-03 4.460552e-01 5.947403e+03
1080 1.074663e+00 5.879779e-02 1.144646e-01 1.463978e-03 4.463050e-01 5.950734e+03
1090 1.084737e+00 5.867377e-02 1.143436e-01 1.462436e-03 4.465411e-01 5.953882e+03
1100 1.094804e+00 5.854987e-02 1.142228e-01 1.460892e-03 4.467773e-01 5.957031e+03
1110 1.104865e+00 5.843336e-02 1.141091e-01 1.459437e-03 4.469997e-01 5.959996e+03
1120 1.114920e+00 5.831694e-02 1.139956e-01 1.457980e-03 4.472222e-01 5.962963e+03
1130 1.124969e+00 5.820060e-02 1.138822e-01 1.456520e-03 4.474448e-01 5.965931e+03
1140 1.135012e+00 5.808432e-02 1.137689e-01 1.455058e-03 4.476675e-01 5.968901e+03
1150 1.145049e+00 5.797538e-02 1.136628e-01 1.453684e-03 4.478764e-01 5.971686e+03
1160 1.155081e+00 5.786648e-02 1.135568e-01 1.452308e-03 4.480854e-01 5.974472e+03
1170 1.165107e+00 5.775762e-02 1.134509e-01 1.450929e-03 4.482945e-01 5.977260e+03
1180 1.175128e+00 5.765605e-02 1.133522e-01 1.449639e-03 4.484897e-01 5.979863e+03
1190 1.185143e+00 5.755450e-02 1.132535e-01 1.448347e-03 4.486850e-01 5.982467e+03
1200 1.195153e+00 5.745297e-02 1.131549e-01 1.447051e-03 4.488804e-01 5.985072e+03
1210 1.205158e+00 5.735146e-02 1.130565e-01 1.445753e-03 4.490759e-01 5.987679e+03
1220 1.215158e+00 5.725719e-02 1.129651e-01 1.444544e-03 4.492575e-01 5.990100e+03
1230 1.225153e+00 5.716293e-02 1.128738e-01 1.443332e-03 4.494391e-01 5.992522e+03
1240 1.235143e+00 5.706867e-02 1.127826e-01 1.442117e-03 4.496208e-01 5.994945e+03
1250 1.245128e+00 5.697440e-02 1.126914e-01 1.440900e-03 4.498026e-01 5.997369e+03
1260 1.255108e+00 5.688013e-02 1.126003e-01 1.439679e-03 4.499845e-01 5.999793e+03
1270 1.265084e+00 5.679311e-02 1.125163e-01 1.438550e-03 4.501524e-01 6.002033e+03
1280 1.275054e+00 5.670607e-02 1.124324e-01 1.437417e-03 4.503204e-01 6.004273e+03
1290 1.285021e+00 5.661902e-02 1.123485e-01 1.436282e-03 4.504885e-01 6.006513e+03
1300 1.294983e+00 5.653195e-02 1.122647e-01 1.435144e-03 4.506566e-01 6.008755e+03
1310 1.304940e+00 5.645213e-02 1.121880e-01 1.434098e-03 4.508108e-01 6.010811e+03
1320 1.314893e+00 5.636503e-02 1.121043e-01 1.432955e-03 4.509790e-01 6.013054e+03
1330 1.324842e+00 5.628517e-02 1.120276e-01 1.431904e-03 4.511333e-01 6.015111e+03
1340 1.334787e+00 5.620530e-02 1.119510e-01 1.430850e-03 4.512876e-01 6.017169e+03
1350 1.344727e+00 5.612540e-02 1.118744e-01 1.429794e-03 4.514420e-01 6.019227e+03
1360 1.354663e+00 5.605275e-02 1.118049e-01 1.428831e-03 4.515824e-01 6.021099e+03
1370 1.364596e+00 5.597281e-02 1.117284e-01 1.427770e-03 4.517369e-01 6.023159e+03
1380 1.374524e+00 5.590011e-02 1.116590e-01 1.426803e-03 4.518774e-01 6.025032e+03
1390 1.384449e+00 5.582739e-02 1.115896e-01 1.425833e-03 4.520179e-01 6.026905e+03
1400 1.394369e+00 5.575465e-02 1.115202e-01 1.424861e-03 4.521585e-01 6.028780e+03
1410 1.404286e+00 5.568187e-02 1.114509e-01 1.423886e-03 4.522991e-01 6.030654e+03
1420 1.414199e+00 5.560907e-02 1.113816e-01 1.422909e-03 4.524397e-01 6.032530e+03
1430 1.424108e+00 5.553626e-02 1.113123e-01 1.421930e-03 4.525804e-01 6.034406e+03
1440 1.434014e+00 5.546343e-02 1.112431e-01 1.420949e-03 4.527212e-01 6.036283e+03
1450 1.443915e+00 5.539060e-02 1.111740e-01 1.419965e-03 4.528620e-01 6.038160e+03
1460 1.453813e+00 5.531776e-02 1.111049e-01 1.418981e-03 4.530028e-01 6.040038e+03
1470 1.463706e+00 5.524494e-02 1.110358e-01 1.417994e-03 4.531437e-01 6.041916e+03
1480 1.473596e+00 5.517214e-02 1.109668e-01 1.417006e-03 4.532846e-01 6.043795e+03
1490 1.483482e+00 5.509936e-02 1.108978e-01 1.416018e-03 4.534256e-01 6.045675e+03
1500 1.493365e+00 5.502662e-02 1.108288e-01 1.415028e-03 4.535666e-01 6.047555e+03
1510 1.503243e+00 5.495392e-02 1.107599e-01 1.414038e-03 4.537077e-01 6.049436e+03
1520 1.513117e+00 5.488128e-02 1.106911e-01 1.413047e-03 4.538488e-01 6.051317e+03
1530 1.522988e+00 5.480870e-02 1.106222e-01 1.412056e-03 4.539899e-01 6.053199e+03
1540 1.532855e+00 5.473619e-02 1.105535e-01 1.411065e-03 4.541311e-01 6.055082e+03
1550 1.542718e+00 5.466377e-02 1.104847e-01 1.410075e-03 4.542724e-01 6.056965e+03
