step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
950 8.640043e-05 7.572795e-03 5.902224e-03 6.415204e-03 2.603288e+00 3.471050e+04
960 8.640309e-05 7.708191e-03 6.012666e-03 6.409962e-03 2.579268e+00 3.439024e+04
970 8.640575e-05 7.843976e-03 6.125557e-03 6.402664e-03 2.555390e+00 3.407187e+04
980 8.640844e-05 7.980152e-03 6.240951e-03 6.393379e-03 2.531656e+00 3.375541e+04
990 8.641115e-05 8.116729e-03 6.358901e-03 6.382179e-03 2.508066e+00 3.344088e+04
1000 8.641388e-05 8.253714e-03 6.479461e-03 6.369137e-03 2.484623e+00 3.312831e+04
1010 8.641662e-05 8.391120e-03 6.602688e-03 6.354321e-03 2.461329e+00 3.281772e+04
1020 8.641939e-05 8.528961e-03 6.728638e-03 6.337806e-03 2.438184e+00 3.250911e+04
1030 8.642217e-05 8.667250e-03 6.857370e-03 6.319660e-03 2.415189e+00 3.220253e+04
1040 8.642497e-05 8.806002e-03 6.988943e-03 6.299953e-03 2.392347e+00 3.189797e+04
1050 8.642779e-05 8.945228e-03 7.123416e-03 6.278749e-03 2.369659e+00 3.159545e+04
1060 8.643062e-05 9.084941e-03 7.260851e-03 6.256113e-03 2.347125e+00 3.129500e+04
1070 8.643348e-05 9.225153e-03 7.401310e-03 6.232108e-03 2.324747e+00 3.099663e+04
1080 8.643635e-05 9.365874e-03 7.544856e-03 6.206794e-03 2.302526e+00 3.070034e+04
1090 8.643924e-05 9.507115e-03 7.691554e-03 6.180231e-03 2.280463e+00 3.040617e+04
1100 8.644214e-05 9.648879e-03 7.841453e-03 6.152482e-03 2.258560e+00 3.011414e+04
1110 8.644506e-05 9.791146e-03 7.994581e-03 6.123615e-03 2.236826e+00 2.982434e+04
1120 8.644800e-05 9.933926e-03 8.151002e-03 6.093684e-03 2.215259e+00 2.953679e+04
1130 8.645095e-05 1.007724e-02 8.310784e-03 6.062748e-03 2.193860e+00 2.925147e+04
1140 8.645392e-05 1.022111e-02 8.473997e-03 6.030866e-03 2.172630e+00 2.896841e+04
1150 8.645690e-05 1.036556e-02 8.640710e-03 5.998095e-03 2.151569e+00 2.868759e+04
1160 8.645989e-05 1.051062e-02 8.810996e-03 5.964490e-03 2.130676e+00 2.840902e+04
1170 8.646291e-05 1.065632e-02 8.984927e-03 5.930107e-03 2.109953e+00 2.813270e+04
