step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
1470 1.449147e-01 1 2.574835e-05 6.899801e-11 5.538288e-15
1480 1.459574e-01 1 2.577967e-05 6.944287e-11 5.589861e-15
1490 1.470008e-01 1 2.581682e-05 6.873209e-11 5.683067e-15
1500 1.480452e-01 1 2.586002e-05 6.794790e-11 5.794546e-15
1510 1.490903e-01 1 2.590867e-05 6.645631e-11 5.621807e-15
1520 1.501364e-01 1 2.596321e-05 6.275674e-11 5.294914e-15
1530 1.511833e-01 1 2.602300e-05 6.388780e-11 5.404713e-15
1540 1.522310e-01 1 2.608834e-05 6.478995e-11 5.505023e-15
1550 1.532796e-01 1 2.615888e-05 6.594350e-11 5.617914e-15
1560 1.543291e-01 1 2.623476e-05 6.405720e-11 5.653225e-15
1570 1.553794e-01 1 2.631532e-05 6.346809e-11 5.772108e-15
1580 1.564306e-01 1 2.640073e-05 6.456088e-11 5.866446e-15
1590 1.574826e-01 1 2.649093e-05 6.519893e-11 5.979899e-15
1600 1.585356e-01 1 2.658567e-05 6.474122e-11 6.092925e-15
1610 1.595894e-01 1 2.668472e-05 6.559601e-11 6.204129e-15
1620 1.606441e-01 1 2.678800e-05 6.675777e-11 6.321526e-15
1630 1.616996e-01 1 2.689600e-05 5.277174e-11 5.009809e-15
1640 1.627561e-01 1 2.700680e-05 5.368674e-11 5.103734e-15
1650 1.638134e-01 1 2.712181e-05 5.498081e-11 5.211885e-15
1660 1.648716e-01 1 2.724061e-05 5.601118e-11 5.292729e-15
1670 1.659307e-01 1 2.736288e-05 5.718420e-11 5.462689e-15
1680 1.669907e-01 1 2.748844e-05 5.542572e-11 5.257974e-15
1690 1.680515e-01 1 2.761703e-05 5.484161e-11 5.236308e-15
1700 1.691133e-01 1 2.774880e-05 5.408753e-11 5.204022e-15
1710 1.701760e-01 1 2.788335e-05 5.244446e-11 5.242386e-15
1720 1.712395e-01 1 2.802051e-05 5.332761e-11 5.333045e-15
1730 1.723040e-01 1 2.816027e-05 5.367869e-11 5.383762e-15
1740 1.733693e-01 1 2.830243e-05 5.423976e-11 5.470886e-15
1750 1.744356e-01 1 2.844677e-05 5.508319e-11 5.539387e-15
1760 1.755027e-01 1 2.859352e-05 4.951471e-11 5.044320e-15
1770 1.765708e-01 1 2.874170e-05 4.893750e-11 5.023153e-15
1780 1.776397e-01 1 2.889167e-05 4.954787e-11 5.016051e-15
1790 1.787096e-01 1 2.904334e-05 5.030979e-11 5.094614e-15
1800 1.797804e-01 1 2.919650e-05 5.107867e-11 5.173918e-15
1810 1.808521e-01 1 2.935100e-05 5.101167e-11 5.233633e-15
1820 1.819247e-01 1 2.950658e-05 5.179325e-11 5.314131e-15
1830 1.829982e-01 1 2.966322e-05 5.250741e-11 5.394811e-15
1840 1.840727e-01 1 2.982069e-05 5.320562e-11 5.473195e-15
1850 1.851481e-01 1 2.997890e-05 5.257457e-11 5.472232e-15
1860 1.862244e-01 1 3.013760e-05 5.346901e-11 5.289548e-15
1870 1.873016e-01 1 3.029675e-05 5.422670e-11 5.363221e-15
1880 1.883797e-01 1 3.045617e-05 5.503235e-11 5.441879e-15
1890 1.894588e-01 1 3.061576e-05 5.494629e-11 5.471512e-15
1900 1.905388e-01 1 3.077538e-05 5.498125e-11 5.491889e-15
1910 1.916197e-01 1 3.093516e-05 4.876291e-11 5.026935e-15
1920 1.927015e-01 1 3.109410e-05 4.632311e-11 4.880845e-15
1930 1.937843e-01 1 3.125267e-05 4.635805e-11 4.877402e-15
1940 1.948680e-01 1 3.141081e-05 4.625098e-11 4.880873e-15
1950 1.959527e-01 1 3.156830e-05 4.688944e-11 4.942625e-15
1960 1.970382e-01 1 3.172500e-05 4.753242e-11 5.004632e-15
1970 1.981248e-01 1 3.188081e-05 4.644297e-11 4.893754e-15
1980 1.992122e-01 1 3.203550e-05 4.707560e-11 4.954065e-15
1990 2.003006e-01 1 3.218902e-05 4.771260e-11 5.014614e-15
2000 2.013899e-01 1 3.234124e-05 4.835014e-11 5.051359e-15
2010 2.024802e-01 1 3.249205e-05 4.887891e-11 5.046630e-15
2020 2.035714e-01 1 3.264134e-05 4.909394e-11 5.080175e-15
2030 2.046636e-01 1 3.278902e-05 4.926055e-11 4.991358e-15
2040 2.057567e-01 1 3.293476e-05 4.990902e-11 5.050329e-15
2050 2.068507e-01 1 3.307867e-05 5.056145e-11 5.109413e-15
2060 2.079457e-01 1 3.322068e-05 4.940218e-11 5.005691e-15
2070 2.090417e-01 1 3.336045e-05 5.002777e-11 5.059517e-15
2080 2.101386e-01 1 3.349806e-05 5.067143e-11 5.116820e-15
2090 2.112364e-01 1 3.363337e-05 5.131882e-11 5.174194e-15
2100 2.123352e-01 1 3.376637e-05 5.093044e-11 5.189134e-15
2110 2.134350e-01 1 3.389670e-05 5.194211e-11 5.251221e-15
2120 2.145357e-01 1 3.402443e-05 5.258428e-11 5.308290e-15
2130 2.156373e-01 1 3.414948e-05 5.322970e-11 5.365379e-15
2140 2.167399e-01 1 3.427176e-05 5.392051e-11 5.437106e-15
2150 2.178435e-01 1 3.439110e-05 5.457310e-11 5.494674e-15
2160 2.189480e-01 1 3.450749e-05 5.355905e-11 5.390114e-15
2170 2.200534e-01 1 3.462081e-05 5.370421e-11 5.398856e-15
2180 2.211598e-01 1 3.473091e-05 5.433988e-11 5.454031e-15
2190 2.222672e-01 1 3.483785e-05 5.423802e-11 5.444998e-15
2200 2.233756e-01 1 3.494142e-05 5.489016e-11 5.495061e-15
2210 2.244848e-01 1 3.504160e-05 5.550241e-11 5.545747e-15
2220 2.255951e-01 1 3.513832e-05 5.603193e-11 5.598786e-15
2230 2.267063e-01 1 3.523150e-05 5.653449e-11 5.652408e-15
2240 2.278184e-01 1 3.532105e-05 5.710639e-11 5.690155e-15
2250 2.289316e-01 1 3.540695e-05 5.500693e-11 5.434352e-15
2260 2.300456e-01 1 3.548901e-05 5.564708e-11 5.482823e-15
2270 2.311607e-01 1 3.556729e-05 5.627125e-11 5.534287e-15
2280 2.322767e-01 1 3.564175e-05 5.623892e-11 5.492916e-15
2290 2.333936e-01 1 3.571217e-05 5.686360e-11 5.543354e-15
2300 2.345115e-01 1 3.577863e-05 5.749026e-11 5.593635e-15
2310 2.356304e-01 1 3.584105e-05 5.811884e-11 5.643749e-15
2320 2.367502e-01 1 3.589936e-05 5.874925e-11 5.693685e-15
2330 2.378710e-01 1 3.595351e-05 5.938143e-11 5.743432e-15
2340 2.389928e-01 1 3.600351e-05 5.939507e-11 5.746069e-15
2350 2.401155e-01 1 3.604916e-05 6.003103e-11 5.795288e-15
2360 2.412392e-01 1 3.609053e-05 6.066863e-11 5.844288e-15
2370 2.423638e-01 1 3.612759e-05 6.128207e-11 5.887629e-15
2380 2.434894e-01 1 3.616028e-05 6.165072e-11 5.929884e-15
2390 2.446159e-01 1 3.618856e-05 6.221668e-11 5.979908e-15
2400 2.457434e-01 1 3.621235e-05 6.285684e-11 6.027881e-15
2410 2.468719e-01 1 3.623178e-05 5.934177e-11 5.725444e-15
2420 2.480013e-01 1 3.624658e-05 6.027244e-11 5.781438e-15
2430 2.491317e-01 1 3.625682e-05 6.088218e-11 5.826084e-15
