step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
1040 1.008468e-01 2.667702e-02 1.541598e-01 4.931865e-04 3.845757e-01 5.127676e+03
1050 1.018554e-01 2.671247e-02 1.541405e-01 4.939035e-04 3.845998e-01 5.127997e+03
1060 1.028648e-01 2.674769e-02 1.541213e-01 4.946165e-04 3.846238e-01 5.128317e+03
1070 1.038749e-01 2.678270e-02 1.541020e-01 4.953258e-04 3.846478e-01 5.128638e+03
1080 1.048857e-01 2.681750e-02 1.540827e-01 4.960314e-04 3.846719e-01 5.128959e+03
1090 1.058973e-01 2.685209e-02 1.540634e-01 4.967334e-04 3.846960e-01 5.129280e+03
1100 1.069096e-01 2.688649e-02 1.540442e-01 4.974321e-04 3.847200e-01 5.129601e+03
1110 1.079227e-01 2.692071e-02 1.540249e-01 4.981275e-04 3.847441e-01 5.129922e+03
1120 1.089365e-01 2.695475e-02 1.540056e-01 4.988198e-04 3.847683e-01 5.130243e+03
1130 1.099511e-01 2.698861e-02 1.539862e-01 4.995091e-04 3.847924e-01 5.130565e+03
1140 1.109664e-01 2.702231e-02 1.539669e-01 5.001956e-04 3.848165e-01 5.130887e+03
1150 1.119825e-01 2.705585e-02 1.539476e-01 5.008793e-04 3.848407e-01 5.131209e+03
1160 1.129994e-01 2.708924e-02 1.539283e-01 5.015604e-04 3.848648e-01 5.131531e+03
1170 1.140170e-01 2.712249e-02 1.539090e-01 5.022390e-04 3.848890e-01 5.131853e+03
1180 1.150354e-01 2.715559e-02 1.538896e-01 5.029153e-04 3.849132e-01 5.132176e+03
1190 1.160546e-01 2.718857e-02 1.538703e-01 5.035893e-04 3.849374e-01 5.132498e+03
1200 1.170745e-01 2.722142e-02 1.538509e-01 5.042613e-04 3.849616e-01 5.132821e+03
1210 1.180952e-01 2.725416e-02 1.538315e-01 5.049312e-04 3.849858e-01 5.133144e+03
1220 1.191167e-01 2.728678e-02 1.538122e-01 5.055993e-04 3.850100e-01 5.133467e+03
1230 1.201390e-01 2.731930e-02 1.537928e-01 5.062656e-04 3.850343e-01 5.133791e+03
1240 1.211621e-01 2.735172e-02 1.537734e-01 5.069302e-04 3.850586e-01 5.134114e+03
1250 1.221859e-01 2.738405e-02 1.537540e-01 5.075934e-04 3.850828e-01 5.134438e+03
1260 1.232106e-01 2.741629e-02 1.537346e-01 5.082551e-04 3.851071e-01 5.134762e+03
1270 1.242360e-01 2.744845e-02 1.537152e-01 5.089156e-04 3.851315e-01 5.135086e+03
1280 1.252622e-01 2.748053e-02 1.536958e-01 5.095749e-04 3.851558e-01 5.135410e+03
1290 1.262893e-01 2.751255e-02 1.536764e-01 5.102331e-04 3.851801e-01 5.135735e+03
1300 1.273171e-01 2.754451e-02 1.536570e-01 5.108903e-04 3.852045e-01 5.136059e+03
1310 1.283457e-01 2.757641e-02 1.536375e-01 5.115467e-04 3.852288e-01 5.136384e+03
1320 1.293751e-01 2.760826e-02 1.536181e-01 5.122024e-04 3.852532e-01 5.136709e+03
1330 1.304054e-01 2.764007e-02 1.535986e-01 5.128574e-04 3.852776e-01 5.137035e+03
1340 1.314364e-01 2.767184e-02 1.535792e-01 5.135119e-04 3.853020e-01 5.137360e+03
1350 1.324683e-01 2.770357e-02 1.535597e-01 5.141660e-04 3.853264e-01 5.137686e+03
1360 1.335009e-01 2.773528e-02 1.535402e-01 5.148198e-04 3.853509e-01 5.138012e+03
1370 1.345344e-01 2.776696e-02 1.535207e-01 5.154733e-04 3.853753e-01 5.138338e+03
1380 1.355687e-01 2.779863e-02 1.535012e-01 5.161268e-04 3.853998e-01 5.138664e+03
1390 1.366039e-01 2.783029e-02 1.534818e-01 5.167802e-04 3.854243e-01 5.138990e+03
1400 1.376398e-01 2.786195e-02 1.534622e-01 5.174338e-04 3.854488e-01 5.139317e+03
1410 1.386766e-01 2.789360e-02 1.534427e-01 5.180876e-04 3.854733e-01 5.139644e+03
1420 1.397142e-01 2.792526e-02 1.534232e-01 5.187416e-04 3.854978e-01 5.139971e+03
1430 1.407526e-01 2.795694e-02 1.534037e-01 5.193961e-04 3.855223e-01 5.140298e+03
1440 1.417919e-01 2.798862e-02 1.533841e-01 5.200510e-04 3.855469e-01 5.140625e+03
1450 1.428320e-01 2.802033e-02 1.533646e-01 5.207066e-04 3.855715e-01 5.140953e+03
1460 1.438730e-01 2.805207e-02 1.533450e-01 5.213629e-04 3.855960e-01 5.141281e+03
1470 1.449147e-01 2.808384e-02 1.533255e-01 5.220199e-04 3.856206e-01 5.141609e+03
1480 1.459574e-01 2.811565e-02 1.533059e-01 5.226779e-04 3.856453e-01 5.141937e+03
1490 1.470008e-01 2.814750e-02 1.532863e-01 5.233368e-04 3.856699e-01 5.142265e+03
1500 1.480452e-01 2.817940e-02 1.532667e-01 5.239968e-04 3.856945e-01 5.142594e+03
1510 1.490903e-01 2.821135e-02 1.532471e-01 5.246580e-04 3.857192e-01 5.142923e+03
1520 1.501364e-01 2.824336e-02 1.532275e-01 5.253205e-04 3.857439e-01 5.143252e+03
1530 1.511833e-01 2.827543e-02 1.532079e-01 5.259844e-04 3.857686e-01 5.143581e+03
1540 1.522310e-01 2.830757e-02 1.531883e-01 5.266497e-04 3.857933e-01 5.143910e+03
1550 1.532796e-01 2.833978e-02 1.531687e-01 5.273166e-04 3.858180e-01 5.144240e+03
1560 1.543291e-01 2.837207e-02 1.531490e-01 5.279851e-04 3.858427e-01 5.144570e+03
1570 1.553794e-01 2.840445e-02 1.531294e-01 5.286554e-04 3.858675e-01 5.144900e+03
1580 1.564306e-01 2.843691e-02 1.531097e-01 5.293275e-04 3.858922e-01 5.145230e+03
1590 1.574826e-01 2.846946e-02 1.530900e-01 5.300016e-04 3.859170e-01 5.145560e+03
1600 1.585356e-01 2.850212e-02 1.530704e-01 5.306777e-04 3.859418e-01 5.145891e+03
1610 1.595894e-01 2.853487e-02 1.530507e-01 5.313559e-04 3.859666e-01 5.146222e+03
1620 1.606441e-01 2.856773e-02 1.530310e-01 5.320362e-04 3.859915e-01 5.146553e+03
1630 1.616996e-01 2.860071e-02 1.530113e-01 5.327189e-04 3.860163e-01 5.146884e+03
1640 1.627561e-01 2.863380e-02 1.529916e-01 5.334040e-04 3.860412e-01 5.147216e+03
1650 1.638134e-01 2.866701e-02 1.529719e-01 5.340915e-04 3.860661e-01 5.147547e+03
1660 1.648716e-01 2.870035e-02 1.529522e-01 5.347817e-04 3.860909e-01 5.147879e+03
1670 1.659307e-01 2.873383e-02 1.529324e-01 5.354744e-04 3.861158e-01 5.148211e+03
1680 1.669907e-01 2.876743e-02 1.529127e-01 5.361699e-04 3.861408e-01 5.148544e+03
1690 1.680515e-01 2.880118e-02 1.528929e-01 5.368682e-04 3.861657e-01 5.148876e+03
1700 1.691133e-01 2.883507e-02 1.528732e-01 5.375695e-04 3.861907e-01 5.149209e+03
1710 1.701760e-01 2.886912e-02 1.528534e-01 5.382737e-04 3.862156e-01 5.149542e+03
1720 1.712395e-01 2.890331e-02 1.528336e-01 5.389811e-04 3.862406e-01 5.149875e+03
1730 1.723040e-01 2.893767e-02 1.528139e-01 5.396916e-04 3.862656e-01 5.150208e+03
1740 1.733693e-01 2.897219e-02 1.527941e-01 5.404054e-04 3.862906e-01 5.150542e+03
1750 1.744356e-01 2.900688e-02 1.527743e-01 5.411226e-04 3.863157e-01 5.150875e+03
1760 1.755027e-01 2.904174e-02 1.527545e-01 5.418431e-04 3.863407e-01 5.151209e+03
1770 1.765708e-01 2.907678e-02 1.527347e-01 5.425673e-04 3.863658e-01 5.151543e+03
1780 1.776397e-01 2.911200e-02 1.527148e-01 5.432950e-04 3.863908e-01 5.151878e+03
1790 1.787096e-01 2.914741e-02 1.526950e-01 5.440264e-04 3.864159e-01 5.152212e+03
1800 1.797804e-01 2.918301e-02 1.526752e-01 5.447616e-04 3.864410e-01 5.152547e+03
1810 1.808521e-01 2.921880e-02 1.526553e-01 5.455007e-04 3.864662e-01 5.152882e+03
1820 1.819247e-01 2.925479e-02 1.526355e-01 5.462437e-04 3.864913e-01 5.153217e+03
1830 1.829982e-01 2.929099e-02 1.526156e-01 5.469908e-04 3.865164e-01 5.153553e+03
1840 1.840727e-01 2.932740e-02 1.525957e-01 5.477420e-04 3.865416e-01 5.153888e+03
1850 1.851481e-01 2.936402e-02 1.525758e-01 5.484974e-04 3.865668e-01 5.154224e+03
1860 1.862244e-01 2.940085e-02 1.525560e-01 5.492571e-04 3.865920e-01 5.154560e+03
1870 1.873016e-01 2.943791e-02 1.525361e-01 5.500211e-04 3.866172e-01 5.154896e+03
1880 1.883797e-01 2.947520e-02 1.525162e-01 5.507896e-04 3.866424e-01 5.155232e+03
